Nick,Nome,NCM
Café .n.t,"Café não torrado, não descafeinado, em grão",9011110
Herbicidas,Outros herbicidas apresentados de outro modo,38089329
Inseticidas,"Outros inseticidas, apresentados de outro modo",38089199
MAP,"Diidrogeno-ortofosfato de amônio (fosfato monoamônico ou monoamoniacal), mesmo misturado com hidrogeno-ortofosfato de diamônio (fosfato diamônico ou diamoniacal)",31054000
MOP,Outros cloretos de potássio,31042090
NAM,"Nitrato de amônio, mesmo em solução aquosa",31023000
NK,Outros adubos/fertilizantes minerais químicos com nitrogênio e potássio,31059090
NP,"Outros adubos/fertilizantes minerais químicos, com nitrogênio e fósforo",31055900
NPK,"Adubos (fertilizantes) minerais ou químicos, que contenham os três elementos fertilizantes: nitrogênio (azoto), fósforo e potássio",31052000
Nit. de Cálcio,Sais duplos e misturas de nitrato de cálcio e nitrato de amônio,31026000
O.Superfosfatos,Outros superfosfatos,31031900
O.açúcares cana,Outros açúcares de cana,17011400
O.fungicidas,Outros fungicidas apresentados de outro modo,38089299
SAM,Sulfato de amônio,31022100
SOP,"Sulfato de potássio, com teor de óxido de potássio (K2O) não superior a 52 %, em peso",31043010
Soja,"Soja, mesmo triturada, exceto para semeadura",12019000
Superfosfatos>35 %,"Superfosfatos, que contenham, em peso, 35 % ou mais de pentóxido de difósforo (P2O5)",31031100
Ureia,"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco",31021010
